"","RIVTYPE","zone","RLE18","RLE24","RLEsa18","RLEsa24","extent","EPL18","EPL24","RLE_EPL24"
"1","10_N_L","Lower foothill","VU","VU","CR","CR",1972.01022777634,"NP","NP","VU_NP"
"2","10_N_M","Mountain stream","LC","LC","LC","LC",50330.6289617102,"WP","WP","LC_WP"
"3","10_N_U","Upper foothill","LC","LC","CR","CR",142321.496680765,"PP","PP","LC_PP"
"4","10_P_L","Lower foothill","VU","VU","CR","CR",377485.660332358,"PP","PP","VU_PP"
"5","10_P_M","Mountain stream","LC","LC","LC","LC",147597.496265175,"MP","MP","LC_MP"
"6","10_P_U","Upper foothill","LC","LC","EN","EN",902386.940748308,"PP","PP","LC_PP"
"7","11_N_F","Lowland river","CR","CR","CR","CR",259530.876561295,"PP","PP","CR_PP"
"8","11_N_L","Lower foothill","LC","LC","CR","CR",4796280.46726565,"NP","NP","LC_NP"
"9","11_N_M","Mountain stream","VU","VU","EN","EN",62993.2630414656,"PP","PP","VU_PP"
"10","11_N_U","Upper foothill","LC","LC","CR","CR",3394225.29333632,"NP","NP","LC_NP"
"11","11_P_F","Lowland river","CR","CR","CR","CR",4646375.54697109,"PP","PP","CR_PP"
"12","11_P_L","Lower foothill","VU","VU","CR","CR",8442242.96822967,"NP","NP","VU_NP"
"13","11_P_M","Mountain stream","VU","VU","EN","CR",89469.0775173839,"PP","PP","VU_PP"
"14","11_P_U","Upper foothill","LC","LC","CR","CR",2760273.14287727,"NP","NP","LC_NP"
"15","12_N_F","Lowland river","LC","LC","LC","LC",3304.26389859087,"NP","NP","LC_NP"
"16","12_N_L","Lower foothill","LC","LC","LC","LC",179426.663127422,"WP","WP","LC_WP"
"17","12_N_M","Mountain stream","LC","LC","LC","LC",20929.1634595313,"PP","PP","LC_PP"
"18","12_N_U","Upper foothill","LC","LC","LC","LC",264340.081871785,"WP","WP","LC_WP"
"19","12_P_F","Lowland river","CR","CR","LC","LC",27294.6532986104,"PP","PP","CR_PP"
"20","12_P_L","Lower foothill","LC","LC","VU","VU",111408.101476893,"WP","WP","LC_WP"
"21","12_P_M","Mountain stream","LC","LC","LC","LC",2444.03890255562,"NP","NP","LC_NP"
"22","12_P_U","Upper foothill","LC","LC","LC","LC",30389.7219426598,"NP","NP","LC_NP"
"23","13_N_F","Lowland river","CR","CR","LC","LC",63674.2013757959,"WP","WP","CR_WP"
"24","13_N_L","Lower foothill","LC","LC","LC","LC",93345.2696548601,"WP","WP","LC_WP"
"25","13_N_U","Upper foothill","LC","LC","LC","LC",16610.7327366702,"WP","WP","LC_WP"
"26","13_P_F","Lowland river","EN","EN","CR","CR",536552.176927725,"PP","MP","EN_MP"
"27","13_P_L","Lower foothill","EN","EN","CR","CR",215740.101481715,"PP","PP","EN_PP"
"28","13_P_M","Mountain stream","LC","LC","LC","LC",4377.76976835622,"NP","WP","LC_WP"
"29","13_P_U","Upper foothill","EN","EN","CR","EN",91026.6132518822,"NP","PP","EN_PP"
"30","14_N_F","Lowland river","EN","EN","CR","CR",25882.0604649125,"NP","NP","EN_NP"
"31","14_N_L","Lower foothill","LC","LC","CR","CR",311766.013096091,"NP","NP","LC_NP"
"32","14_N_M","Mountain stream","LC","LC","LC","LC",54738.4121435363,"NP","NP","LC_NP"
"33","14_N_U","Upper foothill","LC","LC","LC","LC",458906.134771759,"PP","PP","LC_PP"
"34","14_P_F","Lowland river","EN","EN","LC","EN",472507.060726363,"NP","PP","EN_PP"
"35","14_P_L","Lower foothill","LC","LC","LC","EN",2299388.46057316,"PP","PP","LC_PP"
"36","14_P_M","Mountain stream","LC","LC","LC","LC",309182.278150968,"PP","PP","LC_PP"
"37","14_P_U","Upper foothill","LC","LC","LC","LC",2927831.20478517,"PP","PP","LC_PP"
"38","15_N_F","Lowland river","VU","VU","CR","CR",5740.39804225053,"NP","NP","VU_NP"
"39","15_N_L","Lower foothill","EN","EN","CR","CR",473256.179254681,"NP","NP","EN_NP"
"40","15_N_M","Mountain stream","EN","EN","LC","LC",146727.442321257,"PP","MP","EN_MP"
"41","15_N_U","Upper foothill","CR","CR","EN","CR",882760.41108747,"NP","PP","CR_PP"
"42","15_P_F","Lowland river","CR","CR","EN","CR",600616.588628708,"PP","NP","CR_NP"
"43","15_P_L","Lower foothill","CR","CR","LC","EN",2188706.67696741,"PP","PP","CR_PP"
"44","15_P_M","Mountain stream","VU","VU","LC","LC",653748.5561604,"WP","WP","VU_WP"
"45","15_P_U","Upper foothill","EN","EN","LC","LC",2310447.57104808,"PP","PP","EN_PP"
"46","16_N_L","Lower foothill","LC","LC","LC","LC",40072.6925801995,"NP","NP","LC_NP"
"47","16_N_M","Mountain stream","EN","EN","LC","EN",56406.67558181,"NP","NP","EN_NP"
"48","16_N_U","Upper foothill","CR","CR","LC","EN",205624.880755142,"NP","NP","CR_NP"
"49","16_P_F","Lowland river","VU","VU","CR","CR",417042.61666961,"NP","NP","VU_NP"
"50","16_P_L","Lower foothill","LC","LC","CR","CR",4075777.5232424,"NP","NP","LC_NP"
"51","16_P_M","Mountain stream","LC","LC","EN","EN",732780.409567114,"PP","PP","LC_PP"
"52","16_P_U","Upper foothill","LC","LC","EN","EN",6628821.18171514,"NP","NP","LC_NP"
"53","17_N_M","Mountain stream","CR","CR","CR","CR",1950.64528383367,"NP","NP","CR_NP"
"54","17_N_U","Upper foothill","VU","VU","CR","CR",2095.6438150844,"NP","NP","VU_NP"
"55","17_P_F","Lowland river","LC","LC","EN","EN",36610.4041393743,"PP","PP","LC_PP"
"56","17_P_L","Lower foothill","LC","LC","EN","EN",1461003.31661882,"PP","PP","LC_PP"
"57","17_P_M","Mountain stream","LC","LC","EN","EN",111164.858167816,"NP","NP","LC_NP"
"58","17_P_U","Upper foothill","LC","LC","LC","EN",1994900.81687793,"NP","PP","LC_PP"
"59","18_N_F","Lowland river","CR","CR","CR","CR",8077.42471529578,"NP","NP","CR_NP"
"60","18_N_L","Lower foothill","LC","LC","CR","CR",1633782.45699906,"PP","PP","LC_PP"
"61","18_N_M","Mountain stream","LC","LC","LC","LC",624191.606392944,"PP","PP","LC_PP"
"62","18_N_U","Upper foothill","LC","LC","EN","EN",5850307.69968309,"PP","PP","LC_PP"
"63","18_P_F","Lowland river","CR","CR","LC","CR",15011.8238872434,"NP","NP","CR_NP"
"64","18_P_L","Lower foothill","VU","LC","CR","CR",2419014.43761511,"PP","PP","LC_PP"
"65","18_P_M","Mountain stream","EN","EN","EN","EN",85594.8370083992,"NP","NP","EN_NP"
"66","18_P_U","Upper foothill","VU","VU","EN","EN",1195913.30033669,"NP","NP","VU_NP"
"67","19_N_F","Lowland river","VU","VU","VU","CR",8379.07462880418,"PP","MP","VU_MP"
"68","19_N_L","Lower foothill","EN","EN","EN","EN",791929.90938896,"PP","PP","EN_PP"
"69","19_N_M","Mountain stream","EN","EN","LC","LC",460379.690577997,"WP","WP","EN_WP"
"70","19_N_U","Upper foothill","CR","CR","LC","LC",3522215.43846789,"PP","PP","CR_PP"
"71","19_P_F","Lowland river","CR","CR","CR","CR",153588.193194327,"NP","NP","CR_NP"
"72","19_P_L","Lower foothill","CR","CR","EN","CR",1954122.26833324,"PP","PP","CR_PP"
"73","19_P_M","Mountain stream","EN","EN","EN","EN",383360.560550665,"MP","MP","EN_MP"
"74","19_P_U","Upper foothill","CR","CR","EN","EN",2112260.05162648,"PP","PP","CR_PP"
"75","1_N_F","Lowland river","EN","EN","CR","EN",45314.3492655055,"PP","MP","EN_MP"
"76","1_N_L","Lower foothill","LC","LC","EN","EN",694177.473988492,"PP","PP","LC_PP"
"77","1_N_M","Mountain stream","VU","VU","CR","CR",6968.0500499585,"MP","MP","VU_MP"
"78","1_N_U","Upper foothill","EN","EN","LC","LC",707736.494475549,"PP","PP","EN_PP"
"79","1_P_F","Lowland river","LC","LC","CR","CR",1478474.55647813,"PP","PP","LC_PP"
"80","1_P_L","Lower foothill","LC","LC","EN","EN",1004474.5382804,"PP","PP","LC_PP"
"81","1_P_M","Mountain stream","LC","LC","LC","LC",4778.9301126457,"WP","WP","LC_WP"
"82","1_P_U","Upper foothill","VU","VU","LC","VU",60293.7280840812,"MP","MP","VU_MP"
"83","20_N_F","Lowland river","VU","VU","CR","CR",37107.5659989359,"MP","MP","VU_MP"
"84","20_N_L","Lower foothill","EN","EN","EN","CR",310333.681170983,"PP","PP","EN_PP"
"85","20_N_M","Mountain stream","EN","EN","LC","EN",32535.5626721596,"MP","PP","EN_PP"
"86","20_N_U","Upper foothill","CR","CR","LC","CR",610437.17720854,"PP","PP","CR_PP"
"87","20_P_F","Lowland river","CR","CR","CR","CR",301062.221272897,"MP","PP","CR_PP"
"88","20_P_L","Lower foothill","CR","CR","EN","EN",565278.495686836,"PP","PP","CR_PP"
"89","20_P_M","Mountain stream","EN","EN","LC","LC",129732.187540563,"WP","WP","EN_WP"
"90","20_P_U","Upper foothill","EN","EN","LC","VU",875134.261467306,"MP","MP","EN_MP"
"91","21_N_F","Lowland river","EN","EN","CR","CR",23347.0514446664,"NP","NP","EN_NP"
"92","21_N_L","Lower foothill","CR","CR","LC","LC",3397027.88123237,"PP","PP","CR_PP"
"93","21_N_M","Mountain stream","CR","CR","LC","LC",479169.708985965,"PP","PP","CR_PP"
"94","21_N_U","Upper foothill","CR","CR","LC","LC",7216204.39002568,"PP","PP","CR_PP"
"95","21_P_F","Lowland river","CR","CR","CR","CR",2804.51661193631,"PP","PP","CR_PP"
"96","21_P_L","Lower foothill","CR","CR","LC","EN",599502.951979188,"PP","PP","CR_PP"
"97","21_P_M","Mountain stream","LC","LC","LC","LC",4435.52982995588,"PP","PP","LC_PP"
"98","21_P_U","Upper foothill","CR","CR","LC","LC",115019.248421261,"NP","NP","CR_NP"
"99","22_N_L","Lower foothill","EN","VU","CR","CR",321393.814302824,"NP","NP","VU_NP"
"100","22_N_M","Mountain stream","VU","VU","CR","CR",40951.0961537509,"PP","PP","VU_PP"
"101","22_N_U","Upper foothill","VU","VU","CR","CR",471956.737718359,"NP","NP","VU_NP"
"102","22_P_F","Lowland river","VU","VU","CR","CR",368011.82223739,"PP","PP","VU_PP"
"103","22_P_L","Lower foothill","VU","VU","CR","CR",982205.51757877,"NP","PP","VU_PP"
"104","22_P_M","Mountain stream","EN","EN","CR","CR",143028.697180264,"MP","MP","EN_MP"
"105","22_P_U","Upper foothill","EN","EN","CR","CR",634133.222731253,"PP","PP","EN_PP"
"106","23_N_F","Lowland river","CR","CR","CR","CR",2247.16526010169,"PP","PP","CR_PP"
"107","23_N_L","Lower foothill","CR","CR","CR","CR",69237.6489363091,"NP","NP","CR_NP"
"108","23_N_M","Mountain stream","EN","EN","LC","LC",121106.727159035,"WP","WP","EN_WP"
"109","23_N_U","Upper foothill","CR","CR","LC","VU",409379.101988443,"PP","PP","CR_PP"
"110","23_P_F","Lowland river","CR","CR","EN","EN",114283.761802501,"NP","NP","CR_NP"
"111","23_P_L","Lower foothill","CR","CR","VU","EN",647463.891095327,"PP","PP","CR_PP"
"112","23_P_M","Mountain stream","EN","EN","LC","EN",334547.942247815,"WP","MP","EN_MP"
"113","23_P_U","Upper foothill","EN","EN","LC","EN",1119350.87078135,"MP","MP","EN_MP"
"114","24_N_F","Lowland river","EN","EN","CR","CR",47252.9674656556,"NP","NP","EN_NP"
"115","24_N_L","Lower foothill","CR","CR","CR","CR",445762.118199506,"PP","PP","CR_PP"
"116","24_N_M","Mountain stream","VU","VU","CR","CR",80314.6149557962,"PP","PP","VU_PP"
"117","24_N_U","Upper foothill","EN","VU","CR","CR",429145.990998568,"NP","NP","VU_NP"
"118","24_P_F","Lowland river","VU","VU","CR","CR",318181.461051723,"NP","PP","VU_PP"
"119","24_P_L","Lower foothill","EN","EN","CR","CR",558368.061846397,"NP","NP","EN_NP"
"120","24_P_M","Mountain stream","CR","CR","EN","EN",78796.0997761272,"MP","MP","CR_MP"
"121","24_P_U","Upper foothill","CR","CR","CR","CR",399693.706165979,"PP","PP","CR_PP"
"122","25_N_F","Lowland river","CR","CR","LC","LC",24080.4290621342,"MP","MP","CR_MP"
"123","25_N_L","Lower foothill","LC","LC","LC","LC",877247.797191655,"MP","MP","LC_MP"
"124","25_N_M","Mountain stream","LC","LC","LC","EN",50628.4512629629,"PP","PP","LC_PP"
"125","25_N_U","Upper foothill","VU","VU","LC","LC",1081703.87133429,"PP","PP","VU_PP"
"126","25_P_F","Lowland river","CR","CR","CR","CR",237488.445677664,"NP","NP","CR_NP"
"127","25_P_L","Lower foothill","LC","LC","LC","LC",192897.690520194,"PP","PP","LC_PP"
"128","26_N_F","Lowland river","LC","LC","EN","EN",869895.079598495,"NP","PP","LC_PP"
"129","26_N_L","Lower foothill","LC","LC","CR","CR",11599133.4528958,"NP","NP","LC_NP"
"130","26_N_M","Mountain stream","EN","EN","EN","EN",173056.85029569,"PP","PP","EN_PP"
"131","26_N_U","Upper foothill","LC","LC","CR","CR",9146133.04316664,"NP","PP","LC_PP"
"132","26_P_F","Lowland river","CR","CR","CR","CR",3206359.02265253,"PP","PP","CR_PP"
"133","26_P_L","Lower foothill","LC","LC","EN","EN",2305603.59146371,"NP","NP","LC_NP"
"134","26_P_M","Mountain stream","CR","CR","CR","CR",4257.1826443,"MP","MP","CR_MP"
"135","26_P_U","Upper foothill","CR","CR","CR","CR",237470.081996084,"NP","NP","CR_NP"
"136","27_N_F","Lowland river","LC","LC","LC","LC",5353.95765777203,"NP","NP","LC_NP"
"137","27_N_L","Lower foothill","VU","VU","LC","LC",870951.715431405,"PP","PP","VU_PP"
"138","27_N_M","Mountain stream","EN","EN","EN","EN",211672.424596578,"MP","MP","EN_MP"
"139","27_N_U","Upper foothill","VU","VU","LC","LC",2133167.27360999,"PP","PP","VU_PP"
"140","28_N_L","Lower foothill","CR","CR","LC","LC",159372.010129881,"PP","PP","CR_PP"
"141","28_N_M","Mountain stream","CR","CR","CR","CR",64898.782534148,"WP","WP","CR_WP"
"142","28_N_U","Upper foothill","CR","CR","EN","CR",946795.659824584,"MP","MP","CR_MP"
"143","28_P_F","Lowland river","CR","CR","LC","CR",784678.558700798,"PP","PP","CR_PP"
"144","28_P_L","Lower foothill","CR","CR","LC","CR",158257.970206326,"PP","PP","CR_PP"
"145","28_P_U","Upper foothill","CR","CR","LC","CR",15878.5866131161,"WP","MP","CR_MP"
"146","29_N_F","Lowland river","LC","LC","CR","EN",3191761.21040636,"PP","PP","LC_PP"
"147","29_N_L","Lower foothill","LC","LC","CR","CR",3361978.42904664,"NP","NP","LC_NP"
"148","29_N_M","Mountain stream","CR","CR","CR","CR",11273.591651484,"NP","NP","CR_NP"
"149","29_N_U","Upper foothill","VU","VU","CR","CR",1352032.61500122,"NP","NP","VU_NP"
"150","29_P_F","Lowland river","EN","EN","CR","CR",1043967.77291155,"PP","PP","EN_PP"
"151","29_P_L","Lower foothill","VU","LC","CR","CR",330557.259723932,"NP","NP","LC_NP"
"152","29_P_U","Upper foothill","EN","EN","CR","CR",31860.3237654752,"NP","NP","EN_NP"
"153","2_N_F","Lowland river","EN","VU","CR","CR",5395.68780990724,"NP","NP","VU_NP"
"154","2_N_L","Lower foothill","CR","CR","LC","EN",84451.6502543459,"MP","MP","CR_MP"
"155","2_N_M","Mountain stream","LC","LC","EN","EN",43226.564445634,"PP","PP","LC_PP"
"156","2_N_U","Upper foothill","LC","LC","CR","CR",197960.565578426,"PP","PP","LC_PP"
"157","2_P_F","Lowland river","VU","VU","CR","CR",17424.5815589849,"MP","MP","VU_MP"
"158","2_P_L","Lower foothill","EN","EN","CR","CR",360712.91134815,"PP","PP","EN_PP"
"159","2_P_M","Mountain stream","VU","VU","CR","CR",12072.0462461128,"PP","PP","VU_PP"
"160","2_P_U","Upper foothill","VU","VU","CR","CR",123258.548301563,"PP","PP","VU_PP"
"161","30_N_F","Lowland river","CR","VU","CR","VU",40582.8005895432,"NP","NP","VU_NP"
"162","30_N_L","Lower foothill","LC","LC","LC","LC",1002393.18256512,"NP","NP","LC_NP"
"163","30_N_M","Mountain stream","LC","LC","EN","LC",4826.033627847,"NP","NP","LC_NP"
"164","30_N_U","Upper foothill","LC","LC","LC","LC",670554.257352797,"NP","NP","LC_NP"
"165","31_N_M","Mountain stream","LC","LC","LC","LC",3422.74756532744,"NP","NP","LC_NP"
"166","31_N_U","Upper foothill","LC","LC","EN","EN",38199.8891755917,"NP","NP","LC_NP"
"167","31_P_F","Lowland river","CR","CR","EN","CR",132813.30282139,"PP","NP","CR_NP"
"168","31_P_L","Lower foothill","LC","LC","LC","LC",1695599.943814,"PP","PP","LC_PP"
"169","31_P_M","Mountain stream","VU","VU","LC","LC",56075.5865055841,"NP","NP","VU_NP"
"170","31_P_U","Upper foothill","VU","VU","LC","LC",1884051.06934203,"NP","NP","VU_NP"
"171","3_N_F","Lowland river","VU","LC","CR","EN",38009.8743979168,"PP","WP","LC_WP"
"172","3_N_L","Lower foothill","LC","LC","LC","LC",1773870.76715417,"WP","WP","LC_WP"
"173","3_N_M","Mountain stream","LC","LC","LC","LC",92412.2508840354,"MP","MP","LC_MP"
"174","3_N_U","Upper foothill","LC","LC","LC","LC",1300906.28764871,"WP","WP","LC_WP"
"175","3_P_F","Lowland river","LC","LC","EN","EN",470054.074319239,"MP","MP","LC_MP"
"176","3_P_L","Lower foothill","LC","LC","LC","LC",3665915.9988949,"WP","MP","LC_MP"
"177","3_P_M","Mountain stream","LC","LC","LC","LC",78542.6119653127,"PP","PP","LC_PP"
"178","3_P_U","Upper foothill","LC","LC","LC","LC",1150355.93702017,"PP","PP","LC_PP"
"179","4_N_L","Lower foothill","VU","VU","CR","CR",71160.3229953455,"PP","PP","VU_PP"
"180","4_N_M","Mountain stream","LC","LC","CR","CR",35372.6192625527,"PP","PP","LC_PP"
"181","4_N_U","Upper foothill","VU","VU","CR","CR",197382.639881359,"NP","NP","VU_NP"
"182","4_P_F","Lowland river","CR","CR","EN","CR",54667.2462633978,"NP","NP","CR_NP"
"183","4_P_L","Lower foothill","LC","LC","CR","CR",360937.244052264,"PP","PP","LC_PP"
"184","4_P_M","Mountain stream","LC","LC","CR","CR",86575.2705248815,"PP","PP","LC_PP"
"185","4_P_U","Upper foothill","LC","LC","CR","EN",872090.519175196,"PP","PP","LC_PP"
"186","5_N_L","Lower foothill","LC","LC","EN","LC",138069.451922758,"NP","NP","LC_NP"
"187","5_N_M","Mountain stream","VU","VU","CR","CR",9788.16941276801,"NP","NP","VU_NP"
"188","5_N_U","Upper foothill","EN","EN","CR","CR",285598.137990116,"PP","PP","EN_PP"
"189","5_P_L","Lower foothill","EN","EN","CR","CR",163856.23013326,"PP","NP","EN_NP"
"190","5_P_M","Mountain stream","VU","VU","CR","CR",3396.79188695271,"NP","NP","VU_NP"
"191","5_P_U","Upper foothill","CR","CR","CR","CR",159288.436373699,"NP","NP","CR_NP"
"192","6_N_L","Lower foothill","EN","EN","CR","CR",59802.119040535,"PP","PP","EN_PP"
"193","6_N_M","Mountain stream","EN","EN","EN","EN",15520.1174121017,"MP","MP","EN_MP"
"194","6_N_U","Upper foothill","EN","EN","EN","EN",269448.619880507,"PP","PP","EN_PP"
"195","6_P_F","Lowland river","VU","VU","CR","CR",37106.8147834196,"PP","PP","VU_PP"
"196","6_P_L","Lower foothill","EN","EN","EN","EN",264570.824136285,"PP","MP","EN_MP"
"197","6_P_M","Mountain stream","VU","VU","EN","CR",26350.5078679653,"PP","PP","VU_PP"
"198","6_P_U","Upper foothill","EN","EN","LC","EN",520346.391410014,"PP","PP","EN_PP"
"199","7_N_F","Lowland river","LC","LC","LC","LC",34474.9135126089,"NP","NP","LC_NP"
"200","7_N_L","Lower foothill","LC","VU","EN","CR",215348.449177988,"PP","PP","VU_PP"
"201","7_N_M","Mountain stream","VU","VU","LC","LC",45447.5643578212,"MP","MP","VU_MP"
"202","7_N_U","Upper foothill","VU","VU","EN","EN",614736.82483938,"PP","PP","VU_PP"
"203","7_P_F","Lowland river","EN","EN","CR","CR",134425.904862685,"PP","MP","EN_MP"
"204","7_P_L","Lower foothill","VU","VU","CR","CR",774150.959766759,"NP","PP","VU_PP"
"205","7_P_M","Mountain stream","EN","EN","CR","CR",26472.5826703895,"PP","PP","EN_PP"
"206","7_P_U","Upper foothill","VU","VU","CR","CR",813068.626513524,"PP","PP","VU_PP"
"207","8_N_F","Lowland river","VU","VU","CR","CR",7030.05433161144,"NP","NP","VU_NP"
"208","8_N_L","Lower foothill","VU","VU","CR","CR",1080894.89265859,"NP","NP","VU_NP"
"209","8_N_M","Mountain stream","EN","EN","EN","CR",31758.0665302363,"MP","PP","EN_PP"
"210","8_N_U","Upper foothill","EN","EN","CR","CR",771133.805025082,"PP","PP","EN_PP"
"211","8_P_F","Lowland river","VU","VU","CR","CR",621881.960902548,"PP","PP","VU_PP"
"212","8_P_L","Lower foothill","VU","VU","CR","CR",1402507.20370729,"PP","PP","VU_PP"
"213","8_P_M","Mountain stream","VU","VU","CR","CR",25379.084950378,"PP","PP","VU_PP"
"214","8_P_U","Upper foothill","VU","VU","CR","CR",778218.592390381,"NP","NP","VU_NP"
"215","9_N_F","Lowland river","CR","CR","CR","CR",8109.32960668953,"PP","PP","CR_PP"
"216","9_N_L","Lower foothill","VU","VU","CR","CR",18703.2186247549,"PP","PP","VU_PP"
"217","9_N_M","Mountain stream","LC","LC","LC","LC",123859.34938626,"PP","PP","LC_PP"
"218","9_N_U","Upper foothill","VU","VU","EN","EN",717562.662369086,"PP","PP","VU_PP"
"219","9_P_F","Lowland river","EN","EN","CR","CR",18724.7800546778,"NP","NP","EN_NP"
"220","9_P_L","Lower foothill","LC","LC","EN","EN",676233.151305552,"PP","PP","LC_PP"
"221","9_P_M","Mountain stream","LC","LC","EN","EN",130194.71123596,"PP","PP","LC_PP"
"222","9_P_U","Upper foothill","LC","LC","CR","CR",1521492.98000555,"PP","PP","LC_PP"
